Gene	sim	sec
Rack1	Dsim\GD22465	Dsec\GM13296
rad	Dsim\GD17098	Dsec\GM11598
Rad1	Dsim\GD22824	Dsec\GM18217
Rad17	Dsim\GD20407	Dsec\GM25836
Rad23	Dsim\Rad23	Dsec\GM26792
rad50	Dsim\GD11670	Dsec\GM15911
Rad51D	Dsim\GD10641	Dsec\GM21107
Rad60	Dsim\GD18396	Dsec\GM23580
Rae1	Dsim\GD25180	Dsec\GM15702
Raf	Dsim\phl	Dsec\GM19224
RAF2	Dsim\GD14638	Dsec\GM25634
RagA-B	Dsim\GD20832	Dsec\GM26296
Rala	Dsim\GD16321	Dsec\GM12716
Ran	Dsim\GD24539	Dsec\GM11261
Ran-like	Dsim\GD12564	Dsec\GM24492
Ranbp11	Dsim\GD11132	Dsec\GM21630
Ranbp21	Dsim\GD24453	Dsec\GM22721
RanBP3	Dsim\GD18358	Dsec\GM23544
Ranbp9	Dsim\GD18752	Dsec\GM23942
RanBPM	Dsim\GD10740	Dsec\GM21217
RanGAP	Dsim\GD12035	Dsec\GM17349
ranshi	Dsim\GD20849	Dsec\GM26322
rap	Dsim\GD16281	Dsec\GM12670
Rap1	Dsim\R	Dsec\GM14161
Rap2l	Dsim\GD11831	Dsec\GM18299
RapGAP1	Dsim\GD22487	Dsec\GM13529
ras	Dsim\GD16985	Dsec\GM11429
Ras64B	Dsim\Ras64B	Dsec\GM14626
RasGAP1	Dsim\GD12887	Dsec\GM24835
rasp	Dsim\GD13731	Dsec\GM14538
Rassf	Dsim\GD18406	Dsec\GM23592
RASSF8	Dsim\GD21229	Dsec\GM10258
Rat1	Dsim\GD23438	Dsec\GM16241
rau	Dsim\GD22628	Dsec\GM17992
Ravus	Dsim\GD20514	Dsec\GM25955
raw	Dsim\GD22386	Dsec\GM12748
rb	Dsim\GD16295	Dsec\GM12687
Rb97D	Dsim\GD18114	Dsec\GM10160
Rbbp5	Dsim\GD12200	Dsec\GM22228
Rbcn-3A	Dsim\GD16202	Dsec\GM12586
Rbcn-3B	Dsim\GD24728	Dsec\GM19178
Rbf	Dsim\GD16459	Dsec\GM19021
Rbf2	Dsim\GD19061	Dsec\GM24273
Rbfox1	Dsim\GD14245	Dsec\GM25214
Rbm13	Dsim\GD24771	Dsec\GM13703
Rbp	Dsim\GD19022	Dsec\GM24232
Rbp1	Dsim\GD18708	Dsec\GM23896
Rbp2	Dsim\GD17286	Dsec\GM13442
Rbp4	Dsim\GD20485	Dsec\GM25919
Rbp6	Dsim\GD12423	Dsec\GM24349
Rbp9	Dsim\GD23195	Dsec\GM18380
Rbpn-5	Dsim\GD25226	Dsec\GM15751
Rbsn-5	Dsim\GD23509	Dsec\GM16797
Rca1	Dsim\GD23434	Dsec\GM16226
Rcc1	Dsim\GD13166	Dsec\GM13884
Rcd-1r	Dsim\GD22367	Dsec\GM12572
Rcd1	Dsim\GD15233	Dsec\GM20232
Rcd2	Dsim\GD12177	Dsec\GM22202
Rcd4	Dsim\GD23534	Dsec\GM16924
Rcd5	Dsim\GD13805	Dsec\GM14616
Rcd6	Dsim\GD25263	Dsec\GM19773
Rcd7	Dsim\GD14811	Dsec\GM19590
Rcp	Dsim\GD17317	Dsec\GM13474
rdgA	Dsim\GD16920	Dsec\GM13706
rdgB	Dsim\GD17143	Dsec\GM17640
rdgBbeta	Dsim\GD25449	Dsec\GM19958
rdgC	Dsim\GD14868	Dsec\GM22268
rdhB	Dsim\GD20935	Dsec\GM26414
Rdl	Dsim\Rdl	Dsec\GM24889
rdo	Dsim\GD24124	Dsec\GM17259
rdx	Dsim\GD20464	Dsec\GM25894
reb	Dsim\GD25874	Dsec\GM20400
rec	Dsim\GD20327	Dsec\GM25753
Reck	Dsim\GD12589	Dsec\GM24518
RecQ5	Dsim\GD12613	Dsec\GM24539
Reep1	Dsim\GD11726	Dsec\GM15974
ref(2)P	Dsim\ref(2)P	Dsec\GM17364
Ref1	Dsim\GD19510	Dsec\GM10513
Ref2	Dsim\GD22109	Dsec\GM26087
REG	Dsim\GD17109	Dsec\GM11610
Reg-2	Dsim\GD13525	Dsec\GM14270
Reg-5	Dsim\GD24916	Dsec\GM11788
regucalcin	Dsim\GD17058	Dsec\GM13249
Rel	Dsim\Rel	Dsec\Rel
rempA	Dsim\GD22951	Dsec\GM16659
Rep	Dsim\GD11461	Dsec\GM21968
Reph	Dsim\GD23257	Dsec\GM18440
repo	Dsim\GD19218	Dsec\GM15291
Reps	Dsim\GD22195	Dsec\GM11158
rept	Dsim\GD14791	Dsec\GM15014
REPTOR	Dsim\GD18285	Dsec\GM23477
REPTOR-BP	Dsim\GD23670	Dsec\GM18070
resilin	Dsim\GD11218	Dsec\GM21722
Ret	Dsim\GD21645	Dsec\GM23267
retinin	Dsim\GD14627	Dsec\GM25623
retm	Dsim\GD22577	Dsec\GM17940
retn	Dsim\GD11780	Dsec\GM16032
Rev1	Dsim\GD13564	Dsec\GM14350
rev7	Dsim\GD19796	Dsec\GM10817
RfC3	Dsim\GD23698	Dsec\GM18361
RfC38	Dsim\GD22189	Dsec\GM11127
RfC4	Dsim\GD13291	Dsec\GM14011
RFeSP	Dsim\GD22901	Dsec\GM16602
rg	Dsim\GD24748	Dsec\GM12392
Rga	Dsim\GD19600	Dsec\GM10612
Rgk2	Dsim\GD11394	Dsec\GM21897
Rgk3	Dsim\GD11581	Dsec\GM15824
Rgl	Dsim\GD12645	Dsec\GM24573
rgn	Dsim\GD14957	Dsec\GM22365
rgr	Dsim\GD10580	Dsec\GM21048
Rh2	Dsim\GD19254	Dsec\GM17893
Rh4	Dsim\GD12438	Dsec\GM24362
Rh50	Dsim\Rh50	Dsec\GM14687
Rh6	Dsim\GD19028	Dsec\GM24238
Rh7	Dsim\GD12743	Dsec\GM24675
rha	Dsim\GD21214	Dsec\GM17842
rhea	Dsim\GD14103	Dsec\GM25065
Rheb	Dsim\GD19794	Dsec\GM23095
rho	Dsim\GD13619	Dsec\ve
rho-4	Dsim\GD17034	Dsec\GM13096
rho-5	Dsim\GD22266	Dsec\GM11703
rho-6	Dsim\GD22127	Dsec\GM26295
rho-7	Dsim\GD25869	Dsec\GM20394
Rho1	Dsim\GD11158	Dsec\GM21657
RhoBTB	Dsim\GD14882	Dsec\GM22285
RhoGAP100F	Dsim\GD21608	Dsec\GM16457
RhoGAP102A	Dsim\GD15476	Dsec\GM26790
RhoGAP15B	Dsim\GD17324	Dsec\GM13480
RhoGAP16F	Dsim\GD17385	Dsec\GM22879
RhoGAP19D	Dsim\GD15533	Dsec\GM22667
RhoGAP1A	Dsim\RhoGAP1A	Dsec\GM11115
RhoGAP54D	Dsim\GD25460	Dsec\GM19966
RhoGAP5A	Dsim\GD16254	Dsec\GM12638
RhoGAP68F	Dsim\GD14361	Dsec\GM25330
RhoGAP71E	Dsim\GD14559	Dsec\GM25546
RhoGAP92B	Dsim\GD19322	Dsec\GM26873
RhoGAP93B	Dsim\GD20009	Dsec\GM15105
RhoGAPp190	Dsim\GD17349	Dsec\GM13303
RhoGDI	Dsim\GD14840	Dsec\GM19691
RhoGEF2	Dsim\GD11240	Dsec\GM21748
RhoGEF4	Dsim\GD13075	Dsec\GM13777
RhoGEF64C	Dsim\GD13862	Dsec\GM14680
RhoL	Dsim\GD20793	Dsec\GM26254
RhoU	Dsim\GD24695	Dsec\GM11409
Rhp	Dsim\GD17246	Dsec\GM22583
rib	Dsim\GD11439	Dsec\GM13162
Ric	Dsim\GD25569	Dsec\GM20091
RIC-3	Dsim\GD11556	Dsec\GM15795
ric8a	Dsim\GD16949	Dsec\GM22447
Rich	Dsim\GD12074	Dsec\GM22097
rictor	Dsim\GD24462	Dsec\GM22754
Rif1	Dsim\GD25592	Dsec\GM20115
rig	Dsim\GD25262	Dsec\GM19772
Rim	Dsim\GD20205	Dsec\GM15331
Rim2	Dsim\GD22900	Dsec\GM16599
rin	Dsim\GD18916	Dsec\GM24117
Rint1	Dsim\GD14004	Dsec\GM14831
RIOK1	Dsim\GD12787	Dsec\GM24726
RIOK2	Dsim\GD21196	Dsec\GM17828
Rip11	Dsim\GD15625	Dsec\GM22796
Ripalpha	Dsim\GD22299	Dsec\GM11954
rk	Dsim\GD22022	Dsec\GM14985
Rlb1	Dsim\Rlb1	Dsec\GM23810
Rlip	Dsim\GD19391	Dsec\GM15058
RluA-1	Dsim\GD22253	Dsec\GM11650
RluA-2	Dsim\GD23709	Dsec\GM18469
Rme-8	Dsim\GD10096	Dsec\GM20621
rn	Dsim\GD19488	Dsec\GM10491
RN-tre	Dsim\GD25722	Dsec\GM20237
RNASEK	Dsim\GD17680	Dsec\GM11704
RNaseX25	Dsim\RNaseX25	Dsec\GM25008
rno	Dsim\GD13535	Dsec\GM14298
RnrL	Dsim\GD22272	Dsec\GM11750
RnrS	Dsim\GD25870	Dsec\GM20395
ro	Dsim\GD18113	Dsec\GM10159
robl	Dsim\GD11269	Dsec\GM21776
robl22E	Dsim\GD22844	Dsec\GM18239
robl62A	Dsim\GD13620	Dsec\GM14415
robls54B	Dsim\GD25477	Dsec\GM19981
robo1	Dsim\GD25109	Dsec\GM15615
robo2	Dsim\GD22909	Dsec\GM16610
robo3	Dsim\GD23092	Dsec\GM16813
Roc1a	Dsim\GD16520	Dsec\GM19082
Roc1b	Dsim\GD11014	Dsec\GM14339
Roc2	Dsim\GD25891	Dsec\GM20415
rod	Dsim\GD21584	Dsec\GM16431
Roe1	Dsim\GD10974	Dsec\GM21478
rogdi	Dsim\GD14692	Dsec\GM25687
roh	Dsim\GD25053	Dsec\GM15550
rols	Dsim\GD12752	Dsec\GM24683
Root	Dsim\GD21065	Dsec\GM26558
Rop	Dsim\GD13290	Dsec\GM14010
roq	Dsim\GD12476	Dsec\GM24408
Ror	Dsim\GD23669	Dsec\GM18059
rost	Dsim\GD22369	Dsec\GM12594
row	Dsim\GD25633	Dsec\GM20154
RpA-70	Dsim\GD20882	Dsec\GM26360
RPA2	Dsim\GD21666	Dsec\GM23291
RPA3	Dsim\GD15982	Dsec\GM13057
Rpb10	Dsim\GD21123	Dsec\GM26620
Rpb11	Dsim\GD21874	Dsec\GM17133
Rpb12	Dsim\GD25636	Dsec\GM20158
Rpb5	Dsim\GD15257	Dsec\GM20482
Rpb7	Dsim\GD20374	Dsec\GM25797
Rpb8	Dsim\GD14989	Dsec\GM22401
Rph	Dsim\GD16016	Dsec\GM11290
Rpi	Dsim\GD11753	Dsec\GM16000
RpI1	Dsim\GD25674	Dsec\GM20204
RpI12	Dsim\GD18505	Dsec\GM23695
RpI135	Dsim\GD23021	Dsec\GM16738
RpII140	Dsim\GD18948	Dsec\GM24152
RpII15	Dsim\GD18953	Dsec\GM24158
RpII18	Dsim\GD19782	Dsec\GM10803
RpII215	Dsim\GD15986	Dsec\GM13065
RpII33	Dsim\GD23930	Dsec\GM15286
RpIII128	Dsim\GD10835	Dsec\GM21328
rpk	Dsim\GD19743	Dsec\GM10769
RpL10	Dsim\GD12046	Dsec\GM22490
RpL10Ab	Dsim\GD14333	Dsec\GM25301
RpL11	Dsim\GD11455	Dsec\GM21960
RpL12	Dsim\GD11830	Dsec\GM18298
RpL13	Dsim\GD23645	Dsec\GM17848
RpL13A	Dsim\GD19800	Dsec\GM10821
RpL14	Dsim\GD14108	Dsec\GM25070
RpL15	Dsim\GD11941	Dsec\GM25206
RpL18	Dsim\GD13082	Dsec\GM13785
RpL18A	Dsim\GD25466	Dsec\GM19972
RpL19	Dsim\GD24903	Dsec\GM11772
RpL21	Dsim\GD24352	Dsec\GM18795
RpL22-like	Dsim\GD25071	Dsec\GM15570
RpL23	Dsim\GD11716	Dsec\GM15964
RpL23A	Dsim\GD13453	Dsec\GM14186
RpL24	Dsim\GD22063	Dsec\GM25565
RpL24-like	Dsim\GD20660	Dsec\GM26099
RpL26	Dsim\GD14780	Dsec\GM15002
RpL27	Dsim\GD18180	Dsec\GM10227
RpL27A	Dsim\GD22706	Dsec\GM18088
RpL28	Dsim\GD13338	Dsec\GM14063
RpL29	Dsim\GD11583	Dsec\GM15826
RpL3	Dsim\GD18739	Dsec\GM23925
RpL30	Dsim\GD21790	Dsec\GM17042
RpL31	Dsim\GD10666	Dsec\GM21136
RpL32	Dsim\RpL32	Dsec\GM12186
RpL34b	Dsim\GD20801	Dsec\GM10197
RpL35	Dsim\GD16739	Dsec\GM12424
RpL35A	Dsim\GD19617	Dsec\GM10633
RpL36	Dsim\GD16468	Dsec\GM19031
RpL37A	Dsim\GD12023	Dsec\GM18527
RpL39	Dsim\GD24974	Dsec\GM18276
RpL4	Dsim\GD21356	Dsec\GM16362
RpL40	Dsim\GD12014	Dsec\GM18458
RpL7	Dsim\GD23662	Dsec\GM17982
RpL7-like	Dsim\GD23812	Dsec\GM26715
RpL7A	Dsim\GD16190	Dsec\GM12569
RpL8	Dsim\GD13692	Dsec\GM14495
RpL9	Dsim\GD22204	Dsec\GM11214
RpLP0	Dsim\GD15019	Dsec\GM22429
RpLP0-like	Dsim\GD15262	Dsec\GM20550
RpLP1	Dsim\GD23023	Dsec\GM16740
RpLP2	Dsim\GD11208	Dsec\GM21711
Rpn1	Dsim\GD14837	Dsec\GM19685
Rpn10	Dsim\GD14970	Dsec\GM22380
Rpn11	Dsim\GD22663	Dsec\GM18036
Rpn12	Dsim\GD14646	Dsec\GM25643
Rpn12R	Dsim\GD12587	Dsec\GM24516
Rpn13	Dsim\GD25728	Dsec\GM23253
Rpn2	Dsim\GD21420	Dsec\GM12772
Rpn5	Dsim\GD19821	Dsec\GM10840
Rpn6	Dsim\GD25662	Dsec\GM20190
Rpn7	Dsim\GD18456	Dsec\GM23647
Rpn8	Dsim\GD11854	Dsec\GM11856
Rpn9	Dsim\GD18359	Dsec\GM23545
Rpp20	Dsim\GD17463	Dsec\GM22990
Rpp30	Dsim\GD22976	Dsec\GM16689
rpr	Dsim\GD12346	Dsec\GM14944
RpS10b	Dsim\GD17450	Dsec\GM22969
RpS11	Dsim\GD15239	Dsec\GM20375
RpS12	Dsim\GD14423	Dsec\GM25391
RpS13	Dsim\GD22414	Dsec\GM13013
RpS14b	Dsim\GD24764	Dsec\GM11985
RpS15	Dsim\GD25532	Dsec\GM20051
RpS15Aa	Dsim\GD15889	Dsec\GM11496
RpS16	Dsim\GD11679	Dsec\GM15924
RpS17	Dsim\GD12925	Dsec\GM24873
RpS18	Dsim\RpS18	Dsec\RpS18
RpS19a	Dsim\GD17290	Dsec\GM13451
RpS19b	Dsim\GD18336	Dsec\GM23526
RpS2	Dsim\GD22330	Dsec\GM12203
RpS20	Dsim\GD19375	Dsec\GM23136
RpS23	Dsim\GD25696	Dsec\GM20223
RpS24	Dsim\GD25118	Dsec\GM15629
RpS25	Dsim\GD20677	Dsec\GM26117
RpS26	Dsim\GD21834	Dsec\GM17090
RpS27	Dsim\GD18221	Dsec\GM17738
RpS27A	Dsim\GD23696	Dsec\GM18339
RpS28-like	Dsim\GD23606	Dsec\GM17455
RpS28a	Dsim\GD16052	Dsec\GM12191
RpS29	Dsim\GD18649	Dsec\GM23839
RpS3	Dsim\GD21014	Dsec\GM26502
RpS30	Dsim\GD19380	Dsec\GM23141
RpS4	Dsim\GD14426	Dsec\GM25394
RpS5b	Dsim\GD20391	Dsec\GM25815
RpS6	Dsim\GD16145	Dsec\GM11965
RpS7	Dsim\GD17201	Dsec\GM12166
RpS8	Dsim\GD21475	Dsec\GM12832
RpS9	Dsim\GD12912	Dsec\GM24860
Rpt2	Dsim\GD18337	Dsec\GM23527
Rpt3R	Dsim\GD20762	Dsec\GM26216
Rpt4R	Dsim\GD14340	Dsec\GM25309
Rpt5	Dsim\GD21035	Dsec\GM26527
Rpt6	Dsim\GD17527	Dsec\GM23074
Rpt6R	Dsim\GD16958	Dsec\GM12144
Rrp4	Dsim\GD25033	Dsec\GM15529
Rrp40	Dsim\GD23107	Dsec\GM16829
Rrp45	Dsim\GD15722	Dsec\GM13365
Rrp46	Dsim\GD18693	Dsec\GM23883
Rrp47	Dsim\GD17253	Dsec\GM22601
Rrp6	Dsim\GD20396	Dsec\GM25821
Rs1	Dsim\GD10546	Dsec\GM21012
Rsf1	Dsim\GD22286	Dsec\GM11879
RSG7	Dsim\GD15718	Dsec\GM13360
rst	Dsim\GD16346	Dsec\GM18845
rswl	Dsim\GD11387	Dsec\GM21890
rt	Dsim\GD12795	Dsec\GM24735
Rtc1	Dsim\GD24814	Dsec\GM17638
Rtca	Dsim\GD16584	Dsec\GM19193
RtcB	Dsim\GD24205	Dsec\GM17346
rtet	Dsim\GD19396	Dsec\GM15064
Rtf1	Dsim\GD11662	Dsec\GM15903
RtGEF	Dsim\GD24253	Dsec\GM23345
Rtnl2	Dsim\GD19473	Dsec\GM10472
rtp	Dsim\GD19636	Dsec\GM10655
rtv	Dsim\GD24538	Dsec\GM11260
ru	Dsim\GD13615	Dsec\GM14406
rumi	Dsim\GD18424	Dsec\GM23615
rump	Dsim\GD20792	Dsec\GM26253
run	Dsim\run	Dsec\GM23050
RunxB	Dsim\GD17495	Dsec\GM23044
rut	Dsim\rut	Dsec\GM12038
rux	Dsim\rux	Dsec\rux
Rx	Dsim\GD11547	Dsec\GM15784
ry	Dsim\ry	Dsec\GM24078
RYa-R	Dsim\GD21321	Dsec\GM10359
RYBP	Dsim\GD11693	Dsec\GM15940
RyR	Dsim\GD10606	Dsec\GM21070
S	Dsim\GD22931	Dsec\GM16631
s-cup	Dsim\GD10894	Dsec\GM21399
S-Lap1	Dsim\GD14113	Dsec\GM25074
S-Lap3	Dsim\GD14243	Dsec\GM25211
S-Lap4	Dsim\GD14244	Dsec\GM20256
S-Lap5	Dsim\GD10979	Dsec\GM21483
S-Lap8	Dsim\GD11201	Dsec\GM21704
S1P	Dsim\GD12102	Dsec\GM22124
S2P	Dsim\GD25883	Dsec\GM20407
S6k	Dsim\GD13174	Dsec\GM13894
S6kII	Dsim\GD17550	Dsec\GM11736
sa	Dsim\GD12120	Dsec\GM22142
SA-2	Dsim\GD13478	Dsec\GM14215
Sac1	Dsim\GD13597	Dsec\GM14388
sad	Dsim\GD18786	Dsec\GM23984
Saf-B	Dsim\GD21133	Dsec\GM26630
Saf6	Dsim\GD22941	Dsec\GM16645
sage	Dsim\GD20810	Dsec\GM26275
sala	Dsim\sala	Dsec\GM19072
salm	Dsim\GD22176	Dsec\GM11080
salr	Dsim\GD23776	Dsec\GM19017
sals	Dsim\GD20658	Dsec\GM26097
Sam-S	Dsim\GD23001	Dsec\GM16715
SamDC	Dsim\GD23679	Dsec\GM18181
Samuel	Dsim\GD22201	Dsec\GM11188
san	Dsim\GD15393	Dsec\GM21284
sano	Dsim\GD11421	Dsec\GM21926
santa-maria	Dsim\GD22494	Dsec\GM13558
Sap-r	Dsim\Sap-r	Dsec\GM12122
Sap130	Dsim\GD14406	Dsec\GM25373
Sap47	Dsim\GD19060	Dsec\GM24272
Sar1	Dsim\GD20936	Dsec\GM26415
Sara	Dsim\GD11597	Dsec\GM15837
Sardh	Dsim\GD25443	Dsec\GM19952
sas	Dsim\GD19918	Dsec\GM10939
Sas-4	Dsim\GD19917	Dsec\GM10938
Sas-6	Dsim\GD14058	Dsec\GM12845
sau	Dsim\GD23139	Dsec\GM13603
sav	Dsim\GD18409	Dsec\GM23596
sax	Dsim\GD15359	Dsec\GM20983
Sb	Dsim\GD19075	Dsec\GM24286
sba	Dsim\GD18343	Dsec\GM23531
sbb	Dsim\GD25399	Dsec\GM19913
Sbf	Dsim\GD20634	Dsec\GM26070
Sbp2	Dsim\GD14076	Dsec\GM25040
sbr	Dsim\sbr	Dsec\GM11283
sc	Dsim\sc	Dsec\GM19062
Sc2	Dsim\GD13786	Dsec\GM14597
SC35	Dsim\GD22120	Dsec\GM26218
sca	Dsim\GD10921	Dsec\GM21425
scaf	Dsim\GD10353	Dsec\GM16503
SCAP	Dsim\GD15314	Dsec\GM16488
scat	Dsim\GD23603	Dsec\GM17451
scb	Dsim\GD11105	Dsec\GM21600
SCCRO	Dsim\GD14554	Dsec\GM25539
SCCRO3	Dsim\GD25802	Dsec\GM20324
SCCRO4	Dsim\GD14870	Dsec\GM22269
Sce	Dsim\GD18065	Dsec\GM16329
sced	Dsim\GD10414	Dsec\GM20884
scf	Dsim\GD13605	Dsec\GM12990
Scgalpha	Dsim\GD23519	Dsec\GM16870
Scgbeta	Dsim\GD20569	Dsec\GM26011
Scgdelta	Dsim\GD16416	Dsec\GM18955
Schip1	Dsim\GD22271	Dsec\GM11746
schuy	Dsim\GD14845	Dsec\GM19724
Sclp	Dsim\GD15956	Dsec\GM13238
Scm	Dsim\GD20776	Dsec\GM26235
SCOT	Dsim\GD13661	Dsec\GM14463
Scox	Dsim\GD22674	Dsec\GM18054
Scp2	Dsim\GD20278	Dsec\GM15421
scpr-A	Dsim\GD18740	Dsec\GM16873
ScpX	Dsim\GD24161	Dsec\GM17298
Scr	Dsim\GD19518	Dsec\GM10524
scra	Dsim\GD10494	Dsec\GM20966
scramb1	Dsim\GD12867	Dsec\GM24815
scramb2	Dsim\GD13361	Dsec\GM14090
scrib	Dsim\GD21289	Dsec\GM10328
Scsalpha	Dsim\GD13780	Dsec\GM14589
scu	Dsim\GD17383	Dsec\GM22877
scw	Dsim\GD21741	Dsec\GM16994
scyl	Dsim\GD14299	Dsec\GM25265
sd	Dsim\GD24822	Dsec\GM22588
sda	Dsim\GD21314	Dsec\GM10352
Sdc	Dsim\GD25198	Dsec\GM15720
SdhA	Dsim\GD25325	Dsec\GM19835
Sdhaf3	Dsim\GD20284	Dsec\GM15427
SdhAL	Dsim\GD12763	Dsec\GM24693
SdhB	Dsim\GD10425	Dsec\GM20899
SdhBL	Dsim\GD17417	Dsec\GM22932
SdhC	Dsim\GD20679	Dsec\GM26120
SdhD	Dsim\GD18356	Dsec\GM23542
sdk	Dsim\GD16523	Dsec\GM19086
Sdr	Dsim\GD18986	Dsec\GM24195
sds22	Dsim\GD19152	Dsec\GM15226
se	Dsim\GD14100	Dsec\GM25062
sea	Dsim\GD20656	Dsec\GM26094
Sec10	Dsim\GD21067	Dsec\GM26562
Sec13	Dsim\GD21013	Dsec\GM26501
Sec15	Dsim\GD20007	Dsec\GM15101
Sec22	Dsim\GD16531	Dsec\GM19093
Sec23	Dsim\GD19806	Dsec\GM10828
Sec24AB	Dsim\GD10041	Dsec\GM20571
Sec24CD	Dsim\GD22860	Dsec\GM18251
Sec3	Dsim\GD12409	Dsec\GM24335
Sec31	Dsim\GD10608	Dsec\GM21072
Sec5	Dsim\GD23233	Dsec\GM22585
Sec6	Dsim\GD11399	Dsec\GM21903
Sec61alpha	Dsim\GD22572	Dsec\GM17934
Sec61beta	Dsim\GD11064	Dsec\GM21558
Sec63	Dsim\GD14009	Dsec\GM14835
Sec71	Dsim\GD23923	Dsec\GM15214
Sec8	Dsim\GD19584	Dsec\GM23562
sei	Dsim\GD11824	Dsec\GM18295
Seipin	Dsim\GD24734	Dsec\GM19233
sel	Dsim\GD26011	Dsec\GM20558
SelD	Dsim\GD25689	Dsec\GM20218
SelR	Dsim\GD20695	Dsec\GM26142
Sema1a	Dsim\GD23556	Dsec\GM17077
Sema1b	Dsim\GD25452	Dsec\GM19960
Sema2a	Dsim\GD11202	Dsec\GM21705
Sema2b	Dsim\GD11191	Dsec\GM21695
Sema5c	Dsim\GD12751	Dsec\GM24682
Semp1	Dsim\GD21950	Dsec\GM14297
Send2	Dsim\GD23142	Dsec\GM18244
sens	Dsim\GD12667	Dsec\GM24598
sens-2	Dsim\GD23433	Dsec\GM16223
seq	Dsim\GD25786	Dsec\GM20307
Ser	Dsim\GD18089	Dsec\GM10127
Ser12	Dsim\GD22852	Dsec\GM18246
Ser8	Dsim\GD15412	Dsec\GM21468
SERCA	Dsim\GD24994	Dsec\GM15491
serp	Dsim\GD12255	Dsec\GM16620
SerRS	Dsim\GD22783	Dsec\GM18172
SerRS-m	Dsim\GD19014	Dsec\GM24223
sesB	Dsim\GD16013	Dsec\GM11286
Sesn	Dsim\GD11791	Dsec\GM16042
Set	Dsim\GD19001	Dsec\GM24211
Set1	Dsim\GD11928	Dsec\GM18767
Set2	Dsim\GD17127	Dsec\GM11634
sff	Dsim\GD12530	Dsec\GM24459
sfl	Dsim\GD13961	Dsec\GM14789
Sfmbt	Dsim\GD22084	Dsec\GM25834
Sfp53D	Dsim\GD25522	Dsec\GM20038
Sfp87B	Dsim\GD18808	Dsec\GM24009
Sgf11	Dsim\GD12333	Dsec\GM14927
Sgf29	Dsim\GD25209	Dsec\GM15731
sgg	Dsim\GD24735	Dsec\GM16104
sgl	Dsim\GD13103	Dsec\GM13805
sgll	Dsim\GD19951	Dsec\GM10975
Sgs7	Dsim\GD17634	Dsec\GM24748
Sgt	Dsim\GD24111	Dsec\GM17241
Sgt1	Dsim\GD20877	Dsec\GM26355
Sh	Dsim\GD15655	Dsec\GM22843
SH3PX1	Dsim\GD12900	Dsec\GM24848
sha	Dsim\GD15390	Dsec\GM21280
Shab	Dsim\GD13713	Dsec\GM14516
shakB	Dsim\GD24658	Dsec\GM22657
Shal	Dsim\GD17561	Dsec\GM17707
shams	Dsim\GD18236	Dsec\GM17754
Shark	Dsim\GD25560	Dsec\GM20082
Shaw	Dsim\GD23250	Dsec\GM18431
Shawl	Dsim\GD22359	Dsec\GM12484
Shc	Dsim\GD14181	Dsec\GM25147
shd	Dsim\GD14493	Dsec\GM25470
Sherpa	Dsim\GD13608	Dsec\GM14399
shf	Dsim\GD16182	Dsec\GM12553
shg	Dsim\GD25232	Dsec\GM15758
shi	Dsim\shi	Dsec\GM22595
shn	Dsim\GD10771	Dsec\GM21256
shrb	Dsim\GD10100	Dsec\GM20627
shtd	Dsim\GD15798	Dsec\GM19547
shu	Dsim\GD25009	Dsec\GM15507
shv	Dsim\GD23027	Dsec\GM16745
sicily	Dsim\GD16996	Dsec\GM13243
sick	Dsim\GD24235	Dsec\GM17380
Sid	Dsim\GD21378	Dsec\GM12732
side	Dsim\GD18079	Dsec\GM10106
SIDL	Dsim\GD20375	Dsec\GM25798
Sidpn	Dsim\GD24173	Dsec\GM17313
sif	Dsim\GD13896	Dsec\GM14715
SIFaR	Dsim\GD19990	Dsec\GM15085
sigmar	Dsim\GD25023	Dsec\GM15519
Sik3	Dsim\GD11404	Dsec\GM21909
sim	Dsim\GD18883	Dsec\GM24085
sima	Dsim\sima	Dsec\GM12862
simj	Dsim\GD14256	Dsec\GM25223
Sin	Dsim\GD14927	Dsec\GM22337
Sin1	Dsim\GD11053	Dsec\GM21545
Sin3A	Dsim\GD25829	Dsec\GM20350
sina	Dsim\GD14671	Dsec\GM25664
sinah	Dsim\GD14672	Dsec\GM25665
sing	Dsim\GD17295	Dsec\GM13456
sinu	Dsim\GD13191	Dsec\GM13914
sip1	Dsim\GD23359	Dsec\STIP
sip3	Dsim\GD21603	Dsec\GM16451
Sirt1	Dsim\GD23867	Dsec\GM10169
Sirt2	Dsim\GD19348	Dsec\GM23107
Sirt4	Dsim\GD16246	Dsec\GM12631
Sirt6	Dsim\GD20725	Dsec\GM26176
Sirt7	Dsim\GD21410	Dsec\GM12763
Sirup	Dsim\GD23496	Dsec\GM16654
sisA	Dsim\GD24535	Dsec\GM11249
Six4	Dsim\GD12161	Dsec\GM22186
siz	Dsim\GD14932	Dsec\GM22340
SK	Dsim\GD16728	Dsec\GM12409
Sk1	Dsim\GD17022	Dsec\GM13080
Sk2	Dsim\GD13722	Dsec\GM14525
Skadu	Dsim\Skadu	Dsec\Skadu
skap	Dsim\GD18581	Dsec\GM23771
skd	Dsim\GD12147	Dsec\GM22170
Skeletor	Dsim\GD18700	Dsec\GM23890
Ski6	Dsim\GD11973	Dsec\GM25757
SKIP	Dsim\GD20929	Dsec\GM26409
Skp2	Dsim\GD19685	Dsec\GM10708
